val_loss,val_mean_squared_error,loss,mean_squared_error
0.009143218101220143,0.009143218101220143,0.024619753917521338,0.024619753917521338
0.00860265676640836,0.00860265676640836,0.010192567796904152,0.010192567796904152
0.007891280240209289,0.007891280240209289,0.008906625587935165,0.008906625587935165
0.007214383010280852,0.007214383010280852,0.008467181642997567,0.008467181642997567
0.006396178335698374,0.006396178335698374,0.007840740984779293,0.007840740984779293
0.0052332197385421145,0.0052332197385421145,0.0068407250887761685,0.0068407250887761685
0.004758916215870558,0.004758916215870558,0.005850098049173416,0.005850098049173416
0.005649196241376562,0.005649196241376562,0.0052815173664840604,0.0052815173664840604
0.0038035966343411597,0.0038035966343411597,0.004952218688645605,0.004952218688645605
0.00421525022268755,0.00421525022268755,0.004470979696108123,0.004470979696108123
